dt,first,second,Total Cases
2020-05-06 17:00:00,Age Group,0 to 17,4188
2020-05-06 17:00:00,Age Group,18 to 44,63726
2020-05-06 17:00:00,Age Group,45 to 64,63670
2020-05-06 17:00:00,Age Group,65 to 74,21590
2020-05-06 17:00:00,Age Group,75 and over,19779
2020-05-06 17:00:00,Age Group,Unknown,335
2020-05-06 17:00:00,Age 50 and over,Yes,90189
2020-05-06 17:00:00,Age 50 and over,No,82764
2020-05-06 17:00:00,Sex,Female,83891
2020-05-06 17:00:00,Sex,Male,89195
2020-05-06 17:00:00,Sex,Unknown,202
2020-05-06 17:00:00,Borough,Bronx,39587
2020-05-06 17:00:00,Borough,Brooklyn,46139
2020-05-06 17:00:00,Borough,Manhattan,21470
2020-05-06 17:00:00,Borough,Queens,53692
2020-05-06 17:00:00,Borough,Staten Island,12311
2020-05-06 17:00:00,Borough,Unknown,89
2020-05-06 17:00:00,Borough,Confirmed,13938
2020-05-06 17:00:00,Borough,Probable,5359
2020-03-26 17:00:00,Age Group,0 to 17,470
2020-03-26 17:00:00,Age Group,18 to 44,9618
2020-03-26 17:00:00,Age Group,45 to 64,7445
2020-03-26 17:00:00,Age Group,65 to 74,2471
2020-03-26 17:00:00,Age Group,75 and over,1826
2020-03-26 17:00:00,Age Group,Unknown,43
2020-03-26 17:00:00,Age 50 and over,Yes,9863
2020-03-26 17:00:00,Age 50 and over,No,11967
2020-03-26 17:00:00,Sex,Female,9557
2020-03-26 17:00:00,Sex,Male,12278
2020-03-26 17:00:00,Sex,Unknown,38
2020-03-26 17:00:00,Borough,Bronx,3924
2020-03-26 17:00:00,Borough,Brooklyn,5705
2020-03-26 17:00:00,Borough,Manhattan,3907
2020-03-26 17:00:00,Borough,Queens,7026
2020-03-26 17:00:00,Borough,Staten Island,1276
2020-03-26 17:00:00,Borough,Unknown,35
2020-04-23 17:00:00,Age Group,0 to 17,2961
2020-04-23 17:00:00,Age Group,18 to 44,52380
2020-04-23 17:00:00,Age Group,45 to 64,51998
2020-04-23 17:00:00,Age Group,65 to 74,17846
2020-04-23 17:00:00,Age Group,75 and over,16282
2020-04-23 17:00:00,Age Group,Unknown,287
2020-04-23 17:00:00,Age 50 and over,Yes,73963
2020-04-23 17:00:00,Age 50 and over,No,67504
2020-04-23 17:00:00,Sex,Female,67410
2020-04-23 17:00:00,Sex,Male,74016
2020-04-23 17:00:00,Sex,Unknown,328
2020-04-23 17:00:00,Borough,Bronx,31911
2020-04-23 17:00:00,Borough,Brooklyn,37564
2020-04-23 17:00:00,Borough,Manhattan,17803
2020-04-23 17:00:00,Borough,Queens,43824
2020-04-23 17:00:00,Borough,Staten Island,10582
2020-04-23 17:00:00,Borough,Unknown,70
2020-04-23 17:00:00,Borough,Confirmed,10290
2020-04-23 17:00:00,Borough,Probable,5121
2020-04-02 17:00:00,Age Group,0 to 17,860
2020-04-02 17:00:00,Age Group,18 to 44,19835
2020-04-02 17:00:00,Age Group,45 to 64,17035
2020-04-02 17:00:00,Age Group,65 to 74,5946
2020-04-02 17:00:00,Age Group,75 and over,4678
2020-04-02 17:00:00,Age Group,Unknown,108
2020-04-02 17:00:00,Age 50 and over,Yes,23485
2020-04-02 17:00:00,Age 50 and over,No,24869
2020-04-02 17:00:00,Sex,Female,21890
2020-04-02 17:00:00,Sex,Male,26509
2020-04-02 17:00:00,Sex,Unknown,63
2020-04-02 17:00:00,Borough,Bronx,9107
2020-04-02 17:00:00,Borough,Brooklyn,12983
2020-04-02 17:00:00,Borough,Manhattan,7278
2020-04-02 17:00:00,Borough,Queens,16336
2020-04-02 17:00:00,Borough,Staten Island,2723
2020-04-02 17:00:00,Borough,Unknown,35
2020-04-16 17:00:00,Age Group,0 to 17,2256
2020-04-16 17:00:00,Age Group,18 to 44,44016
2020-04-16 17:00:00,Age Group,45 to 64,42743
2020-04-16 17:00:00,Age Group,65 to 74,14949
2020-04-16 17:00:00,Age Group,75 and over,13366
2020-04-16 17:00:00,Age Group,Unknown,235
2020-04-16 17:00:00,Age 50 and over,Yes,61074
2020-04-16 17:00:00,Age 50 and over,No,56256
2020-04-16 17:00:00,Sex,Female,55036
2020-04-16 17:00:00,Sex,Male,62280
2020-04-16 17:00:00,Sex,Unknown,249
