dt,first,second,Underlying Conditions,No Underlying Conditions,Pending,Total
2020-04-08 17:00:00,,0 to 17,2.0,0.0,0.0,2.0
2020-04-08 17:00:00,,18 to 44,161.0,16.0,26.0,203.0
2020-04-08 17:00:00,,45 to 64,714.0,30.0,131.0,875.0
2020-04-08 17:00:00,,65 to 74,682.0,10.0,202.0,894.0
2020-04-08 17:00:00,,75 and over,1096.0,13.0,519.0,1628.0
2020-04-08 17:00:00,Sex,Female,932.0,12.0,313.0,1257.0
2020-04-08 17:00:00,Sex,Male,1562.0,52.0,540.0,2154.0
2020-04-08 17:00:00,Sex,Unknown,161.0,5.0,25.0,191.0
2020-04-08 17:00:00,Borough,Bronx,853.0,12.0,71.0,936.0
2020-04-08 17:00:00,Borough,Brooklyn,606.0,12.0,343.0,961.0
2020-04-08 17:00:00,Borough,Manhattan,287.0,13.0,89.0,389.0
2020-04-08 17:00:00,Borough,Queens,791.0,28.0,317.0,1136.0
2020-04-08 17:00:00,Borough,Staten Island,117.0,4.0,58.0,179.0
2020-04-08 17:00:00,Borough,Unknown,1.0,0.0,0.0,1.0
2020-04-05 17:00:00,,0 to 17,2.0,0.0,0.0,2.0
2020-04-05 17:00:00,,18 to 44,88.0,9.0,35.0,132.0
2020-04-05 17:00:00,,45 to 64,402.0,21.0,112.0,535.0
2020-04-05 17:00:00,,65 to 74,401.0,4.0,152.0,557.0
2020-04-05 17:00:00,,75 and over,610.0,4.0,416.0,1030.0
2020-04-05 17:00:00,Sex,Female,559.0,7.0,271.0,837.0
2020-04-05 17:00:00,Sex,Male,942.0,31.0,444.0,1417.0
2020-04-05 17:00:00,Sex,Unknown,2.0,0.0,0.0,2.0
2020-04-05 17:00:00,Borough,Bronx,506.0,9.0,61.0,576.0
2020-04-05 17:00:00,Borough,Brooklyn,326.0,7.0,278.0,611.0
2020-04-05 17:00:00,Borough,Manhattan,173.0,7.0,84.0,264.0
2020-04-05 17:00:00,Borough,Queens,423.0,15.0,248.0,686.0
2020-04-05 17:00:00,Borough,Staten Island,74.0,0.0,44.0,118.0
2020-04-05 17:00:00,Borough,Unknown,1.0,0.0,0.0,1.0
2020-03-27 17:00:00,Age Group,0 to 17,,,,
2020-03-27 17:00:00,Age Group,18 to 44,,,,
2020-03-27 17:00:00,Age Group,45 to 64,,,,
2020-03-27 17:00:00,Age Group,65 to 74,,,,
2020-03-27 17:00:00,Age Group,75 and over,,,,
2020-03-27 17:00:00,Sex,Female,,,,
2020-03-27 17:00:00,Sex,Male,,,,
2020-03-27 17:00:00,Borough,Bronx,,,,
2020-03-27 17:00:00,Borough,Brooklyn,,,,
2020-03-27 17:00:00,Borough,Manhattan,,,,
2020-03-27 17:00:00,Borough,Queens,,,,
2020-03-27 17:00:00,Borough,Staten Island,,,,
2020-03-27 17:00:00,Borough,Underlying Illness1,,,,
2020-03-27 17:00:00,Borough,Yes,,,,
2020-03-27 17:00:00,Borough,No,,,,
2020-03-27 17:00:00,Borough,Pending Investigation,,,,
2020-04-03 17:00:00,,0 to 17,1.0,0.0,0.0,1.0
2020-04-03 17:00:00,,18 to 44,65.0,8.0,19.0,92.0
2020-04-03 17:00:00,,45 to 64,312.0,14.0,58.0,384.0
2020-04-03 17:00:00,,65 to 74,315.0,1.0,69.0,385.0
2020-04-03 17:00:00,,75 and over,485.0,3.0,234.0,722.0
2020-04-03 17:00:00,Sex,Female,445.0,6.0,146.0,597.0
2020-04-03 17:00:00,Sex,Male,731.0,20.0,234.0,985.0
2020-04-03 17:00:00,Sex,Unknown,2.0,0.0,0.0,2.0
2020-04-03 17:00:00,Borough,Bronx,391.0,7.0,40.0,438.0
