dt,first,second,hospitalized,confirmed
2020-04-03 17:00:00,,0 to 17,92.0,988.0
2020-04-03 17:00:00,,18 to 44,1962.0,22434.0
2020-04-03 17:00:00,,45 to 64,4368.0,19971.0
2020-04-03 17:00:00,,65 to 74,2572.0,7064.0
2020-04-03 17:00:00,,75 and over,2745.0,5709.0
2020-04-03 17:00:00,,Unknown,0.0,123.0
2020-04-03 17:00:00,Sex,Female,4765.0,25536.0
2020-04-03 17:00:00,Sex,Male,6970.0,30672.0
2020-04-03 17:00:00,Sex,Unknown,4.0,81.0
2020-04-03 17:00:00,Borough,Bronx,2924.0,10766.0
2020-04-03 17:00:00,Borough,Brooklyn,2826.0,15327.0
2020-04-03 17:00:00,Borough,Manhattan,1414.0,8221.0
2020-04-03 17:00:00,Borough,Queens,3889.0,18823.0
2020-04-03 17:00:00,Borough,Staten Island,677.0,3117.0
2020-04-03 17:00:00,Borough,Unknown,9.0,35.0
2020-03-27 17:00:00,,0 to 17,47.0,543.0
2020-03-27 17:00:00,,18 to 44,971.0,11617.0
2020-03-27 17:00:00,,45 to 64,1886.0,9158.0
2020-03-27 17:00:00,,65 to 74,1032.0,3034.0
2020-03-27 17:00:00,,75 and over,1103.0,2286.0
2020-03-27 17:00:00,,Unknown,0.0,59.0
2020-03-27 17:00:00,Sex,Female,2035.0,11792.0
2020-03-27 17:00:00,Sex,Male,3003.0,14863.0
2020-03-27 17:00:00,Sex,Unknown,1.0,42.0
2020-03-27 17:00:00,Borough,Bronx,1200.0,4880.0
2020-03-27 17:00:00,Borough,Brooklyn,989.0,7091.0
2020-03-27 17:00:00,Borough,Manhattan,709.0,4627.0
2020-03-27 17:00:00,Borough,Queens,1810.0,8529.0
2020-03-27 17:00:00,Borough,Staten Island,321.0,1534.0
2020-03-27 17:00:00,Borough,Unknown,10.0,36.0
2020-04-05 17:00:00,,0 to 17,101.0,1135.0
2020-04-05 17:00:00,,18 to 44,2214.0,25383.0
2020-04-05 17:00:00,,45 to 64,5295.0,23135.0
2020-04-05 17:00:00,,65 to 74,3172.0,8260.0
2020-04-05 17:00:00,,75 and over,3423.0,6905.0
2020-04-05 17:00:00,,Unknown,0.0,137.0
2020-04-05 17:00:00,Sex,Female,5714.0,29607.0
2020-04-05 17:00:00,Sex,Male,8487.0,35256.0
2020-04-05 17:00:00,Sex,Unknown,4.0,92.0
2020-04-05 17:00:00,Borough,Bronx,3588.0,12739.0
2020-04-05 17:00:00,Borough,Brooklyn,3404.0,17520.0
2020-04-05 17:00:00,Borough,Manhattan,1782.0,9250.0
2020-04-05 17:00:00,Borough,Queens,4638.0,21781.0
2020-04-05 17:00:00,Borough,Staten Island,784.0,3628.0
2020-04-05 17:00:00,Borough,Unknown,9.0,37.0
2020-04-08 17:00:00,,0 to 17,159.0,1523.0
2020-04-08 17:00:00,,18 to 44,3338.0,30877.0
2020-04-08 17:00:00,,45 to 64,7708.0,28700.0
2020-04-08 17:00:00,,65 to 74,4473.0,10219.0
2020-04-08 17:00:00,,75 and over,4796.0,8713.0
2020-04-08 17:00:00,,Unknown,0.0,172.0
2020-04-08 17:00:00,Sex,Female,8159.0,36580.0
2020-04-08 17:00:00,Sex,Male,12128.0,43241.0
2020-04-08 17:00:00,Sex,Unknown,187.0,383.0
2020-04-08 17:00:00,Borough,Bronx,5104.0,16420.0
2020-04-08 17:00:00,Borough,Brooklyn,5114.0,21580.0
2020-04-08 17:00:00,Borough,Manhattan,2809.0,10861.0
2020-04-08 17:00:00,Borough,Queens,6456.0,26204.0
2020-04-08 17:00:00,Borough,Staten Island,981.0,5102.0
2020-04-08 17:00:00,Borough,Unknown,10.0,37.0
2020-04-02 17:00:00,,0 to 17,88.0,881.0
2020-04-02 17:00:00,,18 to 44,1817.0,20313.0
2020-04-02 17:00:00,,45 to 64,3962.0,17497.0
2020-04-02 17:00:00,,65 to 74,2300.0,6095.0
2020-04-02 17:00:00,,75 and over,2423.0,4811.0
2020-04-02 17:00:00,,Unknown,0.0,110.0
2020-04-02 17:00:00,Sex,Female,4292.0,22485.0
2020-04-02 17:00:00,Sex,Male,6295.0,27155.0
2020-04-02 17:00:00,Sex,Unknown,3.0,67.0
2020-04-02 17:00:00,Borough,Bronx,2657.0,9344.0
2020-04-02 17:00:00,Borough,Brooklyn,2444.0,13290.0
2020-04-02 17:00:00,Borough,Manhattan,1337.0,7397.0
2020-04-02 17:00:00,Borough,Queens,3531.0,16819.0
2020-04-02 17:00:00,Borough,Staten Island,612.0,2822.0
2020-04-02 17:00:00,Borough,Unknown,9.0,35.0
2020-03-26 17:00:00,,0 to 17,46.0,495.0
2020-03-26 17:00:00,,18 to 44,950.0,10145.0
2020-03-26 17:00:00,,45 to 64,1749.0,7869.0
2020-03-26 17:00:00,,65 to 74,946.0,2627.0
2020-03-26 17:00:00,,75 and over,1029.0,1935.0
2020-03-26 17:00:00,,Unknown,0.0,41.0
2020-03-26 17:00:00,Sex,Female,1918.0,10124.0
2020-03-26 17:00:00,Sex,Male,2801.0,12948.0
2020-03-26 17:00:00,Sex,Unknown,1.0,40.0
2020-03-26 17:00:00,Borough,Bronx,1071.0,4243.0
2020-03-26 17:00:00,Borough,Brooklyn,968.0,6095.0
2020-03-26 17:00:00,Borough,Manhattan,729.0,4046.0
2020-03-26 17:00:00,Borough,Queens,1659.0,7362.0
2020-03-26 17:00:00,Borough,Staten Island,283.0,1330.0
2020-03-26 17:00:00,Borough,Unknown,10.0,36.0
2020-04-04 17:00:00,,0 to 17,96.0,1077.0
2020-04-04 17:00:00,,18 to 44,2070.0,23952.0
2020-04-04 17:00:00,,45 to 64,4729.0,21644.0
2020-04-04 17:00:00,,65 to 74,2803.0,7716.0
2020-04-04 17:00:00,,75 and over,3018.0,6337.0
2020-04-04 17:00:00,,Unknown,0.0,124.0
2020-04-04 17:00:00,Sex,Female,5116.0,27660.0
2020-04-04 17:00:00,Sex,Male,7596.0,33100.0
2020-04-04 17:00:00,Sex,Unknown,4.0,90.0
2020-04-04 17:00:00,Borough,Bronx,3219.0,11821.0
2020-04-04 17:00:00,Borough,Brooklyn,3089.0,16488.0
2020-04-04 17:00:00,Borough,Manhattan,1565.0,8780.0
2020-04-04 17:00:00,Borough,Queens,4119.0,20371.0
2020-04-04 17:00:00,Borough,Staten Island,715.0,3355.0
2020-04-04 17:00:00,Borough,Unknown,9.0,35.0
2020-04-10 17:00:00,,0 to 17,183.0,1867.0
2020-04-10 17:00:00,,18 to 44,4130.0,36475.0
2020-04-10 17:00:00,,45 to 64,9567.0,33914.0
2020-04-10 17:00:00,,65 to 74,5729.0,11736.0
2020-04-10 17:00:00,,75 and over,6311.0,10203.0
2020-04-10 17:00:00,,Unknown,0.0,214.0
2020-04-10 17:00:00,Sex,Female,10511.0,43185.0
2020-04-10 17:00:00,Sex,Male,15208.0,50807.0
2020-04-10 17:00:00,Sex,Unknown,201.0,417.0
2020-04-10 17:00:00,Borough,Bronx,5915.0,20544.0
2020-04-10 17:00:00,Borough,Brooklyn,6646.0,24846.0
2020-04-10 17:00:00,Borough,Manhattan,3510.0,12200.0
2020-04-10 17:00:00,Borough,Queens,8637.0,29754.0
2020-04-10 17:00:00,Borough,Staten Island,1200.0,7027.0
2020-04-10 17:00:00,Borough,Unknown,12.0,38.0
2020-04-09 17:00:00,,0 to 17,160.0,1726.0
2020-04-09 17:00:00,,18 to 44,3461.0,33906.0
2020-04-09 17:00:00,,45 to 64,8080.0,31472.0
2020-04-09 17:00:00,,65 to 74,4746.0,10990.0
2020-04-09 17:00:00,,75 and over,5124.0,9424.0
2020-04-09 17:00:00,,Unknown,0.0,207.0
2020-04-09 17:00:00,Sex,Female,8618.0,40135.0
2020-04-09 17:00:00,Sex,Male,12769.0,47193.0
2020-04-09 17:00:00,Sex,Unknown,184.0,397.0
2020-04-09 17:00:00,Borough,Bronx,5441.0,18737.0
2020-04-09 17:00:00,Borough,Brooklyn,5402.0,23408.0
2020-04-09 17:00:00,Borough,Manhattan,2900.0,11485.0
2020-04-09 17:00:00,Borough,Queens,6776.0,27759.0
2020-04-09 17:00:00,Borough,Staten Island,1042.0,6298.0
2020-04-09 17:00:00,Borough,Unknown,10.0,38.0
2020-04-01 17:00:00,,0 to 17,83.0,816.0
2020-04-01 17:00:00,,18 to 44,1711.0,18767.0
2020-04-01 17:00:00,,45 to 64,3658.0,16104.0
2020-04-01 17:00:00,,65 to 74,2114.0,5584.0
2020-04-01 17:00:00,,75 and over,2209.0,4328.0
2020-04-01 17:00:00,,Unknown,0.0,108.0
2020-04-01 17:00:00,Sex,Female,3980.0,20522.0
2020-04-01 17:00:00,Sex,Male,5792.0,25128.0
2020-04-01 17:00:00,Sex,Unknown,3.0,57.0
2020-04-01 17:00:00,Borough,Bronx,2414.0,8608.0
2020-04-01 17:00:00,Borough,Brooklyn,2229.0,12274.0
2020-04-01 17:00:00,Borough,Manhattan,1287.0,7021.0
2020-04-01 17:00:00,Borough,Queens,3287.0,15217.0
2020-04-01 17:00:00,Borough,Staten Island,549.0,2552.0
2020-04-01 17:00:00,Borough,Unknown,9.0,35.0
2020-03-28 17:00:00,,0 to 17,58.0,591.0
2020-03-28 17:00:00,,18 to 44,1224.0,13213.0
2020-03-28 17:00:00,,45 to 64,2350.0,10596.0
2020-03-28 17:00:00,,65 to 74,1267.0,3571.0
2020-03-28 17:00:00,,75 and over,1388.0,2724.0
2020-03-28 17:00:00,,Unknown,0.0,70.0
2020-03-28 17:00:00,Sex,Female,2545.0,13592.0
2020-03-28 17:00:00,Sex,Male,3741.0,17133.0
2020-03-28 17:00:00,Sex,Unknown,1.0,40.0
2020-03-28 17:00:00,Borough,Bronx,1433.0,5752.0
2020-03-28 17:00:00,Borough,Brooklyn,1372.0,8129.0
2020-03-28 17:00:00,Borough,Manhattan,916.0,5237.0
2020-03-28 17:00:00,Borough,Queens,2181.0,9831.0
2020-03-28 17:00:00,Borough,Staten Island,374.0,1781.0
2020-03-28 17:00:00,Borough,Unknown,11.0,35.0
2020-03-31 17:00:00,,0 to 17,74.0,757.0
2020-03-31 17:00:00,,18 to 44,1532.0,17347.0
2020-03-31 17:00:00,,45 to 64,3195.0,14689.0
2020-03-31 17:00:00,,65 to 74,1826.0,5015.0
2020-03-31 17:00:00,,75 and over,1922.0,3866.0
2020-03-31 17:00:00,,Unknown,0.0,97.0
2020-03-31 17:00:00,Sex,Female,3455.0,18677.0
2020-03-31 17:00:00,Sex,Male,5093.0,23043.0
2020-03-31 17:00:00,Sex,Unknown,1.0,51.0
2020-03-31 17:00:00,Borough,Bronx,2056.0,7815.0
2020-03-31 17:00:00,Borough,Brooklyn,1901.0,11160.0
2020-03-31 17:00:00,Borough,Manhattan,1130.0,6538.0
2020-03-31 17:00:00,Borough,Queens,2954.0,13869.0
2020-03-31 17:00:00,Borough,Staten Island,499.0,2354.0
2020-03-31 17:00:00,Borough,Unknown,9.0,35.0
2020-03-25 17:00:00,,0 to 17,35.0,446.0
2020-03-25 17:00:00,,18 to 44,837.0,8880.0
2020-03-25 17:00:00,,45 to 64,1470.0,6786.0
2020-03-25 17:00:00,,65 to 74,736.0,2226.0
2020-03-25 17:00:00,,75 and over,844.0,1633.0
2020-03-25 17:00:00,,Unknown,0.0,40.0
2020-03-25 17:00:00,Sex,Female,1628.0,8655.0
2020-03-25 17:00:00,Sex,Male,2293.0,11325.0
2020-03-25 17:00:00,Sex,Unknown,1.0,31.0
2020-03-25 17:00:00,Borough,Bronx,802.0,3542.0
2020-03-25 17:00:00,Borough,Brooklyn,919.0,5232.0
2020-03-25 17:00:00,Borough,Manhattan,584.0,3616.0
2020-03-25 17:00:00,Borough,Queens,1363.0,6420.0
2020-03-25 17:00:00,Borough,Staten Island,251.0,1166.0
2020-03-25 17:00:00,Borough,Unknown,3.0,35.0
